Country,Statutory Corporate Tax Rate,1st Year Effective Tax Rate,5-Year Effective Tax Rate,Labor Tax,Other Taxes,VAT and Sales Tax,PIT top marginal rate,Number of tax payments,Time to comply with taxes (in hours),Investment 2003-2005 as % of GDP,FDI 2003-2005 as % of GDP,Business density per 100 people (2003/4),Average entry rate (%) 2000-2004,Tax evasion,GDP pc 2003,IEF Property Rights Index,Procedures to start a business,Employment rigidity index,Average inflation (1995-2004),Seignorage,EFW Freedom to Trade Internationally Index,Median manufacturing sector firm investment,Median service sector firm investment,Size of informal sector 2005-07,Debt to Equity Ratio,Equity Market Cap in % of GDP 2003,Income group,Legal origin
Argentina,35,23.54,23.8,19.51,14.51,24,35,34,580,18.59,2.22,1.72,7.46,2,6932.45,30,15,41,4.93,7.57,6.2,1.27,0.31,34.58,190.25,34.62,Upper middle income,French
Armenia,20,11.48,12.46,16,0.53,20,20,50,1120,25.39,5.23,5.68,7.55,2,889.72,50,10,23,22.51,5.17,6.9,1.27,0.31,31.25,190.25,34.62,Lower middle income,French
Australia,30,21.96,23.03,11.38,0.24,10,47,12,107,25.35,0.79,13.98,11.27,4.7,22404.59,90,2,16,2.22,3.77,7.3,1.27,0.31,15.83,140.7,101.57,High income,English
Austria,34,20.86,21.04,25.11,0.19,20,50,20,272,21.05,2.35,4.91,4.48,4.2,24650.02,90,9,33,1.19,5.97,8.3,1.27,0.31,15.42,248.05,20.55,High income,German
Belgium,33.99,16.71,19.57,24.27,0.54,21,50,10,160,19.17,10.73,4.83,7.19,2.9,23136.09,90,4,27,1.5,5.95,8.5,1.27,0.31,23.75,123.05,55.11,High income,French
Bolivia,25,39.87,39.87,10.18,17.58,14.94,13,41,1080,12.46,0.08,1.74,4.6,2.2,1017.38,30,15,40,6.24,5.55,7.1,0.81,0.14,43.75,123.05,55.11,Lower middle income,French
Brazil,34,15.49,15.49,31.45,4.32,73.54,27.5,23,2600,17.63,2.31,3.8,4.6,2.4,3737.39,50,17,42,17.85,2.68,6.4,1.6,0.14,35.83,104.02,19.85,Lower middle income,French
Bulgaria,19.5,8.6,10.24,26.36,1.02,20,29,27,616,21.32,10.41,4.59,11.84,2.5,1846.81,30,11,46,118.43,11.92,7.4,1.6,0.14,31.25,104.02,19.85,Lower middle income,German
Burkina Faso,35,22.28,22.54,13.99,4.07,18,35,45,270,19.48,0.46,0,11.84,2.5,246.6,30,12,70,3.37,6.48,7.4,0.77,0.66,35.83,104.02,19.85,Low income,French
Canada,36.12,21.78,25.93,7.04,4.52,15,29,10,119,20.13,1.35,4.68,13.66,5.2,24165.15,90,2,3,1.91,3.05,7.8,0.77,0.66,19.58,99.86,90.36,High income,English
Chile,17,15.09,15.09,2.04,2.17,19,40,10,432,21.17,6.39,4.99,13.66,5.3,5176.06,90,9,24,4.8,2.79,8.4,2,0.93,15,101.28,116.09,Upper middle income,French
